date,t,confirmed,deaths,recovered,Population,s_si,i_si,s_sir,i_sir,r_sir,recovered_reliable
2020-12-01,314,64037142,1557368,40736501.0,7744776836.0,0.9917315704046711,0.008268429595328884,0.9917315704046712,0.002807475729827472,0.005460953865501413,True
2020-12-02,315,64677389,1569854,41194455.0,7744776836.0,0.9916489021737385,0.008351097826261498,0.9916489021737385,0.002829401087212941,0.005521696739048557,True
2020-12-03,316,65367986,1582561,41616718.0,7744776836.0,0.9915597327871153,0.008440267212884739,0.9915597327871153,0.00286240746111022,0.005577859751774519,True
2020-12-04,317,66064345,1594992,42101783.0,7744776836.0,0.9914698194152072,0.008530180584792773,0.9914698194152072,0.00288808450826226,0.005642096076530513,True
2020-12-05,318,66706697,1605596,42532857.0,7744776836.0,0.9913868793881926,0.008613120611807388,0.9913868793881926,0.0029139953904283164,0.005699125221379071,True
2020-12-06,319,67250638,1613691,42844202.0,7744776836.0,0.99131664611853,0.008683353881470058,0.9913166461185299,0.0029429827976517825,0.005740371083818276,True
2020-12-07,320,67785484,1622523,43247682.0,7744776836.0,0.9912475871887085,0.008752412811291493,0.9912475871887085,0.0029588042993676776,0.005793608511923816,True
2020-12-08,321,68416150,1634560,43682858.0,7744776836.0,0.9911661560495867,0.008833843950413344,0.9911661560495867,0.002982491618432477,0.005851352331980867,True
2020-12-09,322,69081500,1647129,44103566.0,7744776836.0,0.9910802465373968,0.008919753462603193,0.9910802465373968,0.0030124567168354753,0.005907296745767718,True
2020-12-10,323,70576907,1659547,44589173.0,7744776836.0,0.9908871606639539,0.009112839336046171,0.9908871606639538,0.003141237961423941,0.005971601374622229,True
2020-12-11,324,71282658,1672729,45060496.0,7744776836.0,0.9907960346037787,0.009203965396221264,0.9907960346037787,0.0031698050853947164,0.006034160310826547,True
2020-12-12,325,71931348,1683558,46559378.0,7744776836.0,0.9907122762187747,0.009287723781225296,0.9907122762187747,0.0030586306747909502,0.0062290931064343455,True
2020-12-13,326,72470142,1691787,46949742.0,7744776836.0,0.9906427075260403,0.009357292473959672,0.9906427075260403,0.003076733326806474,0.006280559147153197,True
2020-12-14,327,73021298,1700981,40953377.0,7744776836.0,0.9905715426607806,0.009428457339219322,0.9905715426607806,0.003920957394000758,0.005507499945218564,True
2020-12-15,328,73669919,1714204,41305127.0,7744776836.0,0.9904877931850069,0.009512206814993113,0.9904877931850069,0.003957581819210988,0.005554624995782125,True
2020-12-16,329,74387461,1728111,41661565.0,7744776836.0,0.9903951446794147,0.00960485532058525,0.9903951446794147,0.004002411645473525,0.0056024436751117256,True
2020-12-17,330,75126063,1741277,42030524.0,7744776836.0,0.9902997769218098,0.00970022307819019,0.9902997769218098,0.0040484396986438876,0.005651783379546303,True
2020-12-18,331,75847501,1754342,42340931.0,7744776836.0,0.9902066253675073,0.009793374632492767,0.9902066253675073,0.004099824781574894,0.0056935498509178735,True
2020-12-19,332,76483006,1765600,42686604.0,7744776836.0,0.990124569420195,0.009875430579805024,0.990124569420195,0.004135794055564185,0.0057396365242408385,True
